Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/:code,29157,0,34,36.40522411085499,3.906500000084634,149.30520000052638,0.0,977.752186536778,0.0,34,41,47,50,60,68,80,87,110,150,150
,Aggregated,29157,0,34,36.40522411085499,3.906500000084634,149.30520000052638,0.0,977.752186536778,0.0,34,41,47,50,60,68,80,87,110,150,150
