Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/:code,26460,0,34,34.57367188964597,1.3567000005423324,167.9122000005009,0.0,916.2500266975063,0.0,34,39,43,46,56,65,76,84,150,170,170
POST,/links,1403,0,85,89.55852009977575,33.489399998870795,232.00010000073235,77.0,48.58272061438402,0.0,85,94,99,100,120,130,150,170,230,230,230
,Aggregated,27863,0,35,37.34235229157024,1.3567000005423324,232.00010000073235,3.8772206869324912,964.8327473118903,0.0,35,41,46,50,64,78,96,110,160,230,230
