Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/:code,25851,0,33,38.13242288499788,3.315800000564195,300.77410000012605,0.0,887.3107107288487,0.0,33,42,48,52,65,77,93,110,270,300,300
,Aggregated,25851,0,33,38.13242288499788,3.315800000564195,300.77410000012605,0.0,887.3107107288487,0.0,33,42,48,52,65,77,93,110,270,300,300
