Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/links,22900,0,55,56.682160148466934,3.33640000098967,168.7114999986079,77.0,782.7451060543781,0.0,55,58,60,61,65,70,77,83,150,160,170
,Aggregated,22900,0,55,56.682160148466934,3.33640000098967,168.7114999986079,77.0,782.7451060543781,0.0,55,58,60,61,65,70,77,83,150,160,170
